Metric,Amount,endDate
Diluted (in dollars per share),0.41,2016-03-31
Diluted (in dollars per share),1.67,2016-12-31
Diluted (in dollars per share),0.61,2016-06-30
Diluted (in dollars per share),0.53,2016-09-30
Diluted (in dollars per share),0.11,2016-12-31
Basic (in shares),7990000,2014-12-31
Basic (in shares),7425000,2015-03-31
Basic (in shares),7288000,2015-12-31
Basic (in shares),7431000,2015-06-30
Basic (in shares),7186000,2015-09-30
Basic (in shares),7116000,2015-12-31
Basic (in shares),7121000,2016-03-31
Basic (in shares),6627000,2016-12-31
Basic (in shares),6551000,2016-06-30
Basic (in shares),6439000,2016-09-30
Basic (in shares),6400000,2016-12-31
Diluted (in shares),8034000,2014-12-31
Diluted (in shares),7467000,2015-03-31
Diluted (in shares),7325000,2015-12-31
Diluted (in shares),7474000,2015-06-30
Diluted (in shares),7219000,2015-09-30
Diluted (in shares),7144000,2015-12-31
Diluted (in shares),7145000,2016-03-31
Diluted (in shares),6649000,2016-12-31
Diluted (in shares),6572000,2016-06-30
Diluted (in shares),6458000,2016-09-30
Diluted (in shares),6425000,2016-12-31
